1, -15.60, 8.74, 0.30, 49, 2
2, -11.40, 13.25, 0.30, 48, 2
3, -3.93, 15.32, 1.45, 47, 2
4, 4.70, 15.32, 0.30, 46, 2
5, 12.17, 13.25, 0.30, 45, 2
6, 16.48, 9.66, 0.30, 44, 2
7, 16.48, 5.52, 0.30, 43, 2
8, 12.17, 1.94, 0.30, 42, 2
9, 4.70, 0.00, 0.30, 41, 2
10, -3.93, 0.00, 0.30, 40, 2
11, -11.40, 1.94, 0.30, 39, 2
12, -15.72, 5.52, 0.30, 38, 2
13, -15.72, 9.66, 0.30, 37, 2
14, -11.40, 13.25, 0.30, 36, 2
15, -3.93, 15.32, 5.10, 35, 7
16, 4.70, 15.32, 1.28, 33, 12
17, 12.17, 13.25, 0.30, 30, 17
18, 16.48, 9.66, 0.30, 25, 22
19, 16.48, 5.52, 0.30, 19, 13
20, 12.17, 1.94, 0.30, 15, 9
21, 4.70, 0.00, 0.30, 12, 7
22, -3.93, 0.00, 0.30, 10, 6
23, -11.40, 1.94, 0.30, 8, 6
24, -15.72, 5.52, 0.30, 6, 6
25, -15.72, 9.66, 0.30, 4, 3
26, -11.40, 13.25, 0.30, 3, 3
27, -3.93, 15.32, 15.16, 2, 1
28, 4.70, 15.32, 21.40, 6, 1
29, 12.17, 13.25, 19.62, 13, 1
30, 16.48, 9.66, 15.66, 19, 6
31, 16.48, 5.52, 9.87, 23, 11
32, 12.17, 1.94, 2.86, 24, 16
33, 4.70, 0.00, 0.30, 20, 10
34, -3.93, 0.00, 0.30, 17, 15
35, -11.40, 1.94, 0.30, 13, 10
36, -15.72, 5.52, 0.30, 10, 7
37, -15.72, 9.66, 0.30, 8, 7
38, -11.40, 13.25, 0.30, 6, 3
39, -3.93, 15.32, 14.25, 5, 3
40, 4.70, 15.32, 19.57, 8, 3
41, 12.17, 13.25, 17.18, 14, 3
42, 16.48, 9.66, 12.91, 19, 8
43, 16.48, 5.52, 7.12, 22, 13
44, 12.17, 1.94, 0.42, 23, 9
45, 4.70, 0.00, 0.30, 20, 14
46, -3.93, 0.00, 0.30, 16, 9
47, -11.40, 1.94, 0.30, 13, 7
48, -15.72, 5.52, 0.30, 11, 6
49, -15.72, 9.66, 0.30, 9, 5
50, -11.40, 13.25, 0.30, 7, 5
51, -3.93, 15.32, 13.94, 5, 5
52, 4.70, 15.32, 19.26, 8, 2
53, 12.17, 13.25, 16.88, 14, 2
54, 16.48, 9.66, 12.61, 19, 7
55, 16.48, 5.52, 6.82, 22, 12
56, 12.17, 1.94, 0.30, 22, 17
57, 4.70, 0.00, 0.30, 17, 11
58, -3.93, 0.00, 0.30, 14, 8
59, -11.40, 1.94, 0.30, 12, 6
60, -15.72, 5.52, 0.30, 10, 5
61, -15.72, 9.66, 0.30, 8, 5
62, -11.40, 13.25, 0.30, 6, 5
63, -3.93, 15.32, 14.25, 4, 2
64, 4.70, 15.32, 19.87, 7, 2
65, 12.17, 13.25, 17.79, 13, 2
66, 16.48, 9.66, 13.83, 18, 7
67, 16.48, 5.52, 8.34, 21, 12
68, 12.17, 1.94, 1.95, 22, 8
69, 4.70, 0.00, 0.30, 20, 13
70, -3.93, 0.00, 0.30, 16, 9
71, -11.40, 1.94, 0.30, 13, 7
72, -15.72, 5.52, 0.30, 11, 6
