  1024,  32,        32,     0.038,     0.000,523776.000
  1024,  64,        16,     0.056,     0.000,523776.000
  1024, 128,         8,     0.043,     0.000,523776.000
  1024, 256,         4,     0.050,     0.000,523776.000
  2048,  32,        64,     0.093,     0.000,2096128.000
  2048,  64,        32,     0.092,     0.000,2096128.000
  2048, 128,        16,     0.098,     0.000,2096128.000
  2048, 256,         8,     0.077,     0.000,2096128.000
  4096,  32,       128,     0.185,     0.000,8386560.000
  4096,  64,        64,     0.175,     0.000,8386560.000
  4096, 128,        32,     0.190,     0.000,8386560.000
  4096, 256,        16,     0.189,     0.000,8386560.000
  8192,  32,       256,     0.379,     0.000,33550184.000
  8192,  64,       128,     0.342,     0.000,33550184.000
  8192, 128,        64,     0.197,     0.000,33550184.000
  8192, 256,        32,     0.310,     0.000,33550184.000
 16384,  32,       512,     0.871,     0.000,134207776.000
 16384,  64,       256,     0.927,     0.000,134207776.000
 16384, 128,       128,     0.766,     0.000,134207776.000
 16384, 256,        64,     0.639,     0.000,134207776.000
 32768,  32,      1024,     1.154,     0.000,536851296.000
 32768,  64,       512,     1.747,     0.000,536851296.000
 32768, 128,       256,     1.258,     0.000,536851296.000
 32768, 256,       128,     1.513,     0.000,536851296.000
 65536,  32,      2048,     3.047,     0.000,2147441920.000
 65536,  64,      1024,     3.057,     0.000,2147441920.000
 65536, 128,       512,     2.868,     0.000,2147441920.000
 65536, 256,       256,     2.943,     0.000,2147441920.000
131072,  32,      4096,     4.710,     0.000,8589856768.000
131072,  64,      2048,     5.104,     0.000,8589856768.000
131072, 128,      1024,     5.214,     0.000,8589856768.000
131072, 256,       512,     5.864,     0.000,8589856768.000
262144,  32,      8192,    10.890,     0.000,34360070144.000
262144,  64,      4096,    11.315,     0.000,34360070144.000
262144, 128,      2048,    10.545,     0.000,34360070144.000
262144, 256,      1024,    12.733,     0.000,34360070144.000
262144,  32,      8192,    13.327,     0.000,34360070144.000
262144,  64,      4096,     8.945,     0.000,34360070144.000
262144, 128,      2048,    11.663,     0.000,34360070144.000
262144, 256,      1024,    12.975,     0.000,34360070144.000
524288,  32,     16384,    23.328,     0.000,137439330304.000
524288,  64,      8192,    28.698,     0.000,137439330304.000
524288, 128,      4096,    23.180,     0.000,137439330304.000
524288, 256,      2048,    14.673,     0.000,137439330304.000
2097152,  32,     65536,    79.007,     0.000,2199645585408.000
2097152,  64,     32768,    93.277,     0.000,2199645585408.000
2097152, 128,     16384,    88.994,     0.000,2199645585408.000
2097152, 256,      8192,    83.967,     0.000,2199645585408.000
4194304,  32,    131072,   168.176,     0.000,8809265233920.000
4194304,  64,     65536,   155.517,     0.000,8809265233920.000
4194304, 128,     32768,   184.975,     0.000,8809265233920.000
4194304, 256,     16384,   148.418,     0.000,8809265233920.000
8388608,  32,    262144,   328.746,     0.000,35197538009088.000
8388608,  64,    131072,   374.776,     0.000,35197538009088.000
8388608, 128,     65536,   358.749,     0.000,35197538009088.000
8388608, 256,     32768,   381.491,     0.000,35197538009088.000
16777216,  32,    524288,   456.747,     0.000,146610336038912.000
16777216,  64,    262144,   700.656,     0.000,146610336038912.000
16777216, 128,    131072,   702.975,     0.000,146610336038912.000
16777216, 256,     65536,   734.779,     0.000,146610336038912.000
